# LOVE_NUMBERS  Format of 2005.01.10
# degree h                 l                 k
#
     0  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
     1 -0.2858777580E+00  0.1039182063E+00  0.0000000000E+00
     2 -0.9915810331E+00  0.2353293958E-01 -0.3054020195E+00
     3 -0.1050767745E+01  0.7014846821E-01 -0.1960294041E+00
     4 -0.1053393012E+01  0.5888944962E-01 -0.1336652689E+00
     5 -0.1086317605E+01  0.4635490492E-01 -0.1047066267E+00
     6 -0.1143860336E+01  0.3875790076E-01 -0.9033564429E-01
     7 -0.1212408459E+01  0.3435761766E-01 -0.8206984804E-01
     8 -0.1283943275E+01  0.3162521937E-01 -0.7655494644E-01
     9 -0.1354734845E+01  0.2976799724E-01 -0.7243844815E-01
    10 -0.1423282851E+01  0.2841217497E-01 -0.6913401466E-01
    11 -0.1489094554E+01  0.2737604005E-01 -0.6635869819E-01
    12 -0.1552074997E+01  0.2656100083E-01 -0.6395689877E-01
    13 -0.1612273740E+01  0.2590599387E-01 -0.6183296641E-01
    14 -0.1669763369E+01  0.2536854685E-01 -0.5992172201E-01
    15 -0.1724635488E+01  0.2491746046E-01 -0.5817772516E-01
    16 -0.1776963521E+01  0.2452895864E-01 -0.5656704205E-01
    17 -0.1826825601E+01  0.2418496902E-01 -0.5506474110E-01
    18 -0.1874298467E+01  0.2387191421E-01 -0.5365205058E-01
    19 -0.1919461416E+01  0.2357965299E-01 -0.5231479422E-01
    20 -0.1962393632E+01  0.2330062776E-01 -0.5104204279E-01
    21 -0.2003182253E+01  0.2302957552E-01 -0.4982562670E-01
    22 -0.2041915786E+01  0.2276274561E-01 -0.4865919131E-01
    23 -0.2078680486E+01  0.2249751069E-01 -0.4753764652E-01
    24 -0.2113573061E+01  0.2223241049E-01 -0.4645728556E-01
    25 -0.2146680270E+01  0.2196635908E-01 -0.4541483359E-01
    26 -0.2178105661E+01  0.2169923707E-01 -0.4440818528E-01
    27 -0.2207927152E+01  0.2143062311E-01 -0.4343487603E-01
    28 -0.2236242846E+01  0.2116091000E-01 -0.4249347823E-01
    29 -0.2263132641E+01  0.2089023887E-01 -0.4158232061E-01
    30 -0.2288687940E+01  0.2061922034E-01 -0.4070034557E-01
    31 -0.2312991757E+01  0.2034837121E-01 -0.3984645832E-01
    32 -0.2336112443E+01  0.2007795245E-01 -0.3901937759E-01
    33 -0.2358128831E+01  0.1980857769E-01 -0.3821827509E-01
    34 -0.2379107893E+01  0.1954063723E-01 -0.3744217649E-01
    35 -0.2399120761E+01  0.1927467242E-01 -0.3669034206E-01
    36 -0.2418226351E+01  0.1901099500E-01 -0.3596186474E-01
    37 -0.2436482905E+01  0.1874994579E-01 -0.3525594412E-01
    38 -0.2453948379E+01  0.1849189587E-01 -0.3457187576E-01
    39 -0.2470670195E+01  0.1823702146E-01 -0.3390882631E-01
    40 -0.2486697757E+01  0.1798557582E-01 -0.3326609909E-01
    41 -0.2502076334E+01  0.1773775332E-01 -0.3264299923E-01
    42 -0.2516847401E+01  0.1749369843E-01 -0.3203883174E-01
    43 -0.2531050008E+01  0.1725353288E-01 -0.3145293280E-01
